sentence	sentence_id	locale	reason
Տարիներէ ի վեր կը տառապի մեծ առողջապահական հարցերէ։	006b82c09efdee89b6eb00ce076ae8a00e3a07dc9e1edd8f8978fe30009972f8	hy-AM	grammar-or-spelling
Հանդէսը արձագանգած է ժամանակի գրեթէ ամբողջ գրական անցուդարձը։	0010c57fd5c5a3d0377505081b6d00d1f48709e22b52516979d77ff3edd48ad8	hy-AM	grammar-or-spelling
Վէպը ներառուած է հայկական ուսումնական ծրագիրին մէջ։	0035bacf47a3659fec8b3aa194ba9017b2caf728d876ef37a4246bb1f4101e63	hy-AM	grammar-or-spelling
Իրբենե մուտքը հնարավոր էր միայն հատուկ թույտվութուն ունենալու դեպքում։	00ce5ee5bd73b8b2cc6ee93dec186ae443af3aba0340cba129a456384a03b18e	hy-AM	grammar-or-spelling
Ինտեգրվում է հասցեային գրքում և իրավազորվում է հեռախոսահամարների հիման վրա։	00c9ac3e9eb6ed39dcd25d32d239c96f62131f3fe61b438ffda1b944fd77e956	hy-AM	grammar-or-spelling
Այսպես հայտնվեցին առաջին շղթայական բենզալցակայանները, որոնք պատկանում էին անկախ ֆրանչայզերի։	003e4a07f6a3615bf81296621ce4f8a47633609b214f4d797b5cb5f85bfc7f20	hy-AM	grammar-or-spelling
Այսպես հայտնվեցին առաջին շղթայական բենզալցակայանները, որոնք պատկանում էին անկախ ֆրանչայզերի։	003e4a07f6a3615bf81296621ce4f8a47633609b214f4d797b5cb5f85bfc7f20	hy-AM	«????????? ????????????» ?????????? ???????? ??????????????? ??
Սակայն այս ծրագիրը եւս ծայրահեղ կերպով դատապարտուեցաւ թուրք համայնքի կողմէն։	000732ea69c1038b560a6f66b72b1e4835e0dda779069ec57073d1fa3f99f68b	hy-AM	different-language
Թանգարանի զարդարանքներու մեծ մասն ընտրուած է մրցոյթներու միջոցով։	00a91f3a72b88e1dc9dfc73faa0173b7cbf276e372324465fb4d3023a5d709dd	hy-AM	different-language
Տիրապետող դիրքում էր դաշնակցությունը։	00651b3d64fb14051f4233288b358e01558b81fc1b06189658781f1c2a8f1634	hy-AM	grammar-or-spelling
Նա ինքը նկարագրել է այդ հրավերը հավաքական «մեծ անակնկալ»։	007458e9dfb726f1c98daf6e140a485eebb3067b6255b284b0004f1f9ea5e3a5	hy-AM	grammar-or-spelling
Քաղաքում կան մեքենաշինական, քիմիական, էլեկտրոտեխնիկական և կահույքի գործարաններ։	00c0730affaf1d5a96b7d2d744c595d577208b10d22d1c322fdaa98ed1f7d005	hy-AM	grammar-or-spelling
Քաղաքում կան մեքենաշինական, քիմիական, էլեկտրոտեխնիկական և կահույքի գործարաններ։	00c0730affaf1d5a96b7d2d744c595d577208b10d22d1c322fdaa98ed1f7d005	hy-AM	?????????????????
Ապա կը մասնակցի պատահական ներկայացումներու։	003ac9c84d4e608dc18d097f06306be64dd289a694959f0735fb683285bdcb59	hy-AM	different-language
Գոյություն է ունեցել սուսերամարտի դասավանդման և վարպետի կոչման արժանանանլու մենաշնորհ։	00166e2d75ed065927fcc1aba6e5629daa5d8fa8b3517ee6b0843b56049686bf	hy-AM	grammar-or-spelling
Կին իրավաբանների ասոցիացիայի պատվավոր նախագահն է։	00e50fcdf7d71fd057f83b83e8f651bb39230c7c34cce53157c145f716032bc7	hy-AM	grammar-or-spelling
Ւնքնաշխատութեամբ հարստացուցած է երաժրշտական գիտելիքներր։	0143c464e464b17815a2cc076ba273e02756053b101d56b946f76af65013e326	hy-AM	grammar-or-spelling
Դիսպերս համակարգևրը սովորաբար պարունակում։	000272d902bc34c8f432da3f76292ae6f7d4236e458f4b0b8601f4ded8a3e245	hy-AM	grammar-or-spelling
Ի. Ալեքսանդրովսկին նարում է արքային, նրա ընտանիքի անդամներին և մերձավորներին։	01c28939a414f00cea8fab3f510ea3c13b8e6c336fda9d8155dfeb6748f0d08a	hy-AM	grammar-or-spelling
Զենք գնելու համար անհրաժեշտ միջոցների բացակայությունը շատ մեջ խոչընդոտ էր։	021358fa3a7574148ca26b4779db8146a8c2090efed9d99239663f4b0d64ae5a	hy-AM	grammar-or-spelling
Էրիթրոդերմիկ փսորիազը հայտնի է գալիս, երբ ցանը տարածուն բնույթ է ստանում։	0116c8b15914b099856a99c386eabe27a2189977718f3a69e5a4a11ae7e65986	hy-AM	grammar-or-spelling
Էրիթրոդերմիկ փսորիազը հայտնի է գալիս, երբ ցանը տարածուն բնույթ է ստանում։	0116c8b15914b099856a99c386eabe27a2189977718f3a69e5a4a11ae7e65986	hy-AM	difficult-pronounce
Ընկերեները ցանկացան դառնան ճնճղուկներ և սկսեցին կախարդական բառեր մտածել։	024d396adab4b4a0aecc9c1c4661b686ce62d1941e32a96b76c0ca23bc6466a1	hy-AM	grammar-or-spelling
Սակայն հարավում բամբակի արտադրությունը դեռևս շարունակուր էր մնալ եկամտի հիմնական աղբյուր։	02109120fbcb8c8d4a306055f828eb09b7d45240eb1b5a35819c58d55b11dffe	hy-AM	grammar-or-spelling
Ափրիկէի մէջ թմբկահարները մեծ տարածում ունին։	027a43e6e35035fe3ac87ded03d58153ccca99cf188b0930fb73f5da236ae415	hy-AM	grammar-or-spelling
Թրեյն ունի բազում տատուներ իր ձեռքերին և կրծքաբվանդակին։	0270589d1f2fceabc8e2d7f64f6d6dcb975310902de6ba9c0b5cfde61d3e9f7e	hy-AM	grammar-or-spelling
Առաջին տիկինները դիվանագիտական հարաբերություններ են պահպանում այլ երկրների նախագահների տիկինների հետ։	027df407d5fac2271fd9b0ca3ec0992f3ce6acd5bbcb471fb791e3aa8d9fdea5	hy-AM	offensive-language
Առաջին տիկինները դիվանագիտական հարաբերություններ են պահպանում այլ երկրների նախագահների տիկինների հետ։	027df407d5fac2271fd9b0ca3ec0992f3ce6acd5bbcb471fb791e3aa8d9fdea5	hy-AM	difficult-pronunciation
Այնտեղ նա ստանում է պետական հեղինակավոր պաշտոն։	037a12bf8728e486026ddc7046de7600cec97d11c4e8a122459dccdad2aff0e7	hy-AM	difficult-pronunciation
Ջանաշվիլին ենթադրել է, որ վրացական լեզուները կապված են հնդրեվրոպական լեզուների հետ։	03728fe9c8782e970a7e1e6523b99d6b9971623475f526623508058898211d03	hy-AM	difficult-pronunciation
Ներկայումս սինագոգը համարվում է ակտիվ։	032278cfe32c7f50e74eb043ce6bf40bfd1929bdfbfd5dc25db4d28e7315a4c1	hy-AM	different-language
Ներկայումս սինագոգը համարվում է ակտիվ։	032278cfe32c7f50e74eb043ce6bf40bfd1929bdfbfd5dc25db4d28e7315a4c1	hy-AM	b4v3wPiFKl2AS
Հրապարակի հետ միասին այն համարվում է քաղաքի առավել խորհրդանշական վայրերից մեկը։	028a4d1bc0c6bc15b6573eeb1f450c6b122047d615c2b2568c30989234f69337	hy-AM	difficult-pronunciation
Հայոց տոմարի սկզբնավորման մասին կան միայն կցկտուր տեղեկություններ։	037340b636215df276d2b7f514788546b60ee225fe3dc411067ba8ac8fbe05d3	hy-AM	difficult-pronunciation
Լուսնի մայրցամաքներում կան լեռնաշղթաներ, որոնք հիմնականում տեղակայված են «ծովերի» ափերի երկայնքով։	0320c78a17222fb456cdec74ac3e93f27b4d13c74e8aa277c319cc0a07525d7c	hy-AM	grammar-or-spelling
Անջրդի պայմաններում կարևոր նշանակություն ունեն ցանքաշրջանառության կիրառումը։	031b942b87c6fc15cf0474f5e2c26590456e6bf8837081dc64095bf1649d756c	hy-AM	difficult-pronunciation
Անջրդի պայմաններում կարևոր նշանակություն ունեն ցանքաշրջանառության կիրառումը։	031b942b87c6fc15cf0474f5e2c26590456e6bf8837081dc64095bf1649d756c	hy-AM	https://www.google.com
Բնակիչները քաջ և խիզախ մարդիկ էին։	02e1e4a8b6f5b15eb360452abe3dcd13cabe283b90ffe37b3bad311b59eee333	hy-AM	different-language
Բնակիչները քաջ և խիզախ մարդիկ էին։	02e1e4a8b6f5b15eb360452abe3dcd13cabe283b90ffe37b3bad311b59eee333	hy-AM	difficult-pronunciation